Hipercellularity,Membranous,Normal,Sclerosis,podocytopathy,crescent,file,True Attribute
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (1514).jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190122 (1963).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (252).jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190122 (2520).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (2738).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (2743).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (2744).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (2745).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (2746).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (29).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (3363).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (3365).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (3661).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (3850).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (3851).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (3852).jpg,crescentes
0,0,0,1,0,0,/crescentes/AZAN/FIOCRUZ20190122 (4057).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (4693).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (4695).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (5352).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (5353).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (5355).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (5401).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (5402).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (5589).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (6274).jpg,crescentes
0,1,0,1,0,0,/crescentes/AZAN/FIOCRUZ20190122 (6276).jpg,crescentes
0,1,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (6277).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (6536).jpg,crescentes
1,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (6537).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (6538).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190122 (7258).jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-104.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-105.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-107.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-11034.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-11035.jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-11036.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11212.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11213.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11217.jpg,crescentes
0,1,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11218.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11219.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11220.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-11462.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-11464.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-11525.jpg,crescentes
1,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1158.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1160.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1161.jpg,crescentes
1,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1348.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1351.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1353.jpg,crescentes
1,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-13782.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-15569.jpg,crescentes
0,1,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-15988.jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-15999.jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-1705.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-1728.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-177.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-17706.jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-18442.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-18633.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-19247.jpg,crescentes
0,0,0,0,0,0,/crescentes/AZAN/FIOCRUZ20190123-19255.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-19256.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-19304.jpg,crescentes
0,0,0,0,0,0,/crescentes/AZAN/FIOCRUZ20190123-19307.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-19501.JPG,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-19569.JPG,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-1992.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-2048.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-2506.jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-2509.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-2762.jpg,crescentes
1,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-4322.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-4324.jpg,crescentes
0,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-4345.jpg,crescentes
0,0,0,1,0,1,/crescentes/AZAN/FIOCRUZ20190123-4357.jpg,crescentes
0,0,0,1,0,0,/crescentes/AZAN/FIOCRUZ20190123-4386.jpg,crescentes
1,0,0,0,0,1,/crescentes/AZAN/FIOCRUZ20190123-4387.jpg,crescentes
